Clinical	01A	MappedSampleName	01A	MappedFileName
TCGA-BJ-A45C	TCGA-BJ-A45C-01A	B6DC9428-AAA3-4A0A-BFA2-F662390B1951	TCGA-BJ-A45C-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.B6DC9428-AAA3-4A0A-BFA2-F662390B1951.txt
TCGA-BJ-A45D	TCGA-BJ-A45D-01A	9605F283-37CC-4F5B-AF4B-475CFDE5C83B	TCGA-BJ-A45D-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.9605F283-37CC-4F5B-AF4B-475CFDE5C83B.txt
TCGA-BJ-A45E	TCGA-BJ-A45E-01A	#N/A	TCGA-BJ-A45E-01A	0
TCGA-BJ-A45F	TCGA-BJ-A45F-01A	335EDF43-F0A9-4035-80FA-B21110D139BE	TCGA-BJ-A45F-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.335EDF43-F0A9-4035-80FA-B21110D139BE.txt
TCGA-BJ-A45G	TCGA-BJ-A45G-01A	D4E26462-AA84-4636-B2BB-762BA843A43E	TCGA-BJ-A45G-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.D4E26462-AA84-4636-B2BB-762BA843A43E.txt
TCGA-BJ-A45H	TCGA-BJ-A45H-01A	2D6675E8-7942-44AB-9605-85F2ED711121	TCGA-BJ-A45H-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.2D6675E8-7942-44AB-9605-85F2ED711121.txt
TCGA-BJ-A45I	TCGA-BJ-A45I-01A	#N/A	TCGA-BJ-A45I-01A	0
TCGA-BJ-A45J	TCGA-BJ-A45J-01A	7597EF02-DBA4-4185-9E67-A2498C59D9BC	TCGA-BJ-A45J-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.7597EF02-DBA4-4185-9E67-A2498C59D9BC.txt
TCGA-BJ-A45K	TCGA-BJ-A45K-01A	8B6B14D1-948B-46DC-8AAE-8DE7373A11ED	TCGA-BJ-A45K-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.8B6B14D1-948B-46DC-8AAE-8DE7373A11ED.txt
TCGA-BJ-A4O8	TCGA-BJ-A4O8-01A	ADFA3443-6E7C-4D14-B2A5-265F04F65C9C	TCGA-BJ-A4O8-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.ADFA3443-6E7C-4D14-B2A5-265F04F65C9C.txt
TCGA-BJ-A4O9	TCGA-BJ-A4O9-01A	85F85195-CD2B-4D21-8600-0407FFD0DBA2	TCGA-BJ-A4O9-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.85F85195-CD2B-4D21-8600-0407FFD0DBA2.txt
TCGA-CE-A13K	TCGA-CE-A13K-01A	C50DEF63-91C2-4E62-BAAB-4E5653681486	TCGA-CE-A13K-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.C50DEF63-91C2-4E62-BAAB-4E5653681486.txt
TCGA-CE-A27D	TCGA-CE-A27D-01A	686F7B1E-7039-40C5-911A-A569267D9DAE	TCGA-CE-A27D-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.686F7B1E-7039-40C5-911A-A569267D9DAE.txt
TCGA-CE-A3MD	TCGA-CE-A3MD-01A	C8E771A0-96A1-4831-AD5E-49FB870338E0	TCGA-CE-A3MD-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.C8E771A0-96A1-4831-AD5E-49FB870338E0.txt
TCGA-CE-A3ME	TCGA-CE-A3ME-01A	96BE3FFF-63D5-49F9-A94D-6AAF275A4A07	TCGA-CE-A3ME-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.96BE3FFF-63D5-49F9-A94D-6AAF275A4A07.txt
TCGA-CE-A481	TCGA-CE-A481-01A	52ECF7B6-276B-45B0-AC0A-A268D4612ABE	TCGA-CE-A481-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.52ECF7B6-276B-45B0-AC0A-A268D4612ABE.txt
TCGA-CE-A482	TCGA-CE-A482-01A	77927AEB-2822-4F91-99B8-E4818ABEB25D	TCGA-CE-A482-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.77927AEB-2822-4F91-99B8-E4818ABEB25D.txt
TCGA-CE-A483	TCGA-CE-A483-01A	FEB556F6-E127-469C-B79B-8B004612F8BF	TCGA-CE-A483-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.FEB556F6-E127-469C-B79B-8B004612F8BF.txt
TCGA-CE-A484	TCGA-CE-A484-01A	7437D445-2E77-433A-8914-290399A36279	TCGA-CE-A484-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.7437D445-2E77-433A-8914-290399A36279.txt
TCGA-CE-A485	TCGA-CE-A485-01A	7A59CE2B-3035-4938-ACF1-1649624C711B	TCGA-CE-A485-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.7A59CE2B-3035-4938-ACF1-1649624C711B.txt
TCGA-DE-A0XZ	TCGA-DE-A0XZ-01A	#N/A	TCGA-DE-A0XZ-01A	0
TCGA-DE-A0Y2	TCGA-DE-A0Y2-01A	255B953B-D0CF-45B4-B80C-349953BA67D9	TCGA-DE-A0Y2-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.255B953B-D0CF-45B4-B80C-349953BA67D9.txt
TCGA-DE-A0Y3	TCGA-DE-A0Y3-01A	#N/A	TCGA-DE-A0Y3-01A	0
TCGA-DE-A2OL	TCGA-DE-A2OL-01A	D80E4543-AC36-425E-B83D-F4035D7E0092	TCGA-DE-A2OL-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.D80E4543-AC36-425E-B83D-F4035D7E0092.txt
TCGA-DE-A3KN	TCGA-DE-A3KN-01A	AC1FE189-4075-423F-AF5C-4B60AC1815AB	TCGA-DE-A3KN-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.AC1FE189-4075-423F-AF5C-4B60AC1815AB.txt
TCGA-DE-A4M8	TCGA-DE-A4M8-01A	#N/A	TCGA-DE-A4M8-01A	0
TCGA-DE-A4M9	TCGA-DE-A4M9-01A	62C006FC-F940-40BC-A4F9-54CEE2EAC37A	TCGA-DE-A4M9-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.62C006FC-F940-40BC-A4F9-54CEE2EAC37A.txt
TCGA-DE-A4MA	TCGA-DE-A4MA-01A	E18C102F-E10B-44F6-80F3-0F17D3CD2D07	TCGA-DE-A4MA-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.E18C102F-E10B-44F6-80F3-0F17D3CD2D07.txt
TCGA-DE-A4MB	TCGA-DE-A4MB-01A	FDCB8B79-8640-4B1E-A9AC-618FD80D6DF4	TCGA-DE-A4MB-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.FDCB8B79-8640-4B1E-A9AC-618FD80D6DF4.txt
TCGA-DE-A4MC	TCGA-DE-A4MC-01A	DEB4FD16-4E09-498E-9212-4ABE9E11FB80	TCGA-DE-A4MC-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.DEB4FD16-4E09-498E-9212-4ABE9E11FB80.txt
TCGA-DE-A4MD	TCGA-DE-A4MD-01A	#N/A	TCGA-DE-A4MD-01A	0
TCGA-DE-A69J	TCGA-DE-A69J-01A	#N/A	TCGA-DE-A69J-01A	0
TCGA-DE-A69K	TCGA-DE-A69K-01A	#N/A	TCGA-DE-A69K-01A	0
TCGA-DE-A7U5	TCGA-DE-A7U5-01A	#N/A	TCGA-DE-A7U5-01A	0
TCGA-DJ-A13M	TCGA-DJ-A13M-01A	3D413D2D-987E-4CAB-A3ED-8B4098C3DA5D	TCGA-DJ-A13M-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.3D413D2D-987E-4CAB-A3ED-8B4098C3DA5D.txt
TCGA-DJ-A13O	TCGA-DJ-A13O-01A	A3426A9D-C399-4A7F-B550-0D32CFFB8495	TCGA-DJ-A13O-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.A3426A9D-C399-4A7F-B550-0D32CFFB8495.txt
TCGA-DJ-A13P	TCGA-DJ-A13P-01A	#N/A	TCGA-DJ-A13P-01A	0
TCGA-DJ-A13R	TCGA-DJ-A13R-01A	0C3C0A6E-B992-4519-B5BC-E9F4DD3C395B	TCGA-DJ-A13R-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.0C3C0A6E-B992-4519-B5BC-E9F4DD3C395B.txt
TCGA-DJ-A13S	TCGA-DJ-A13S-01A	817776C2-FD15-4E6B-8E23-8D7BE9647D8B	TCGA-DJ-A13S-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.817776C2-FD15-4E6B-8E23-8D7BE9647D8B.txt
TCGA-DJ-A13T	TCGA-DJ-A13T-01A	#N/A	TCGA-DJ-A13T-01A	0
TCGA-DJ-A13U	TCGA-DJ-A13U-01A	#N/A	TCGA-DJ-A13U-01A	0
TCGA-DJ-A13V	TCGA-DJ-A13V-01A	0E963AB6-3E07-4F54-BD81-13B07CE28DA1	TCGA-DJ-A13V-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.0E963AB6-3E07-4F54-BD81-13B07CE28DA1.txt
TCGA-DJ-A13W	TCGA-DJ-A13W-01A	EA4999B2-F316-47CC-BBAD-3096701B3223	TCGA-DJ-A13W-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.EA4999B2-F316-47CC-BBAD-3096701B3223.txt
TCGA-DJ-A13X	TCGA-DJ-A13X-01A	45D95D09-3CC1-4909-916D-1F8D88F92B06	TCGA-DJ-A13X-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.45D95D09-3CC1-4909-916D-1F8D88F92B06.txt
TCGA-DJ-A1QD	TCGA-DJ-A1QD-01A	6D011C69-3ED6-4E3B-8D29-C028C2210CB5	TCGA-DJ-A1QD-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.6D011C69-3ED6-4E3B-8D29-C028C2210CB5.txt
TCGA-DJ-A1QE	TCGA-DJ-A1QE-01A	9AEDE1A0-84E8-418E-8E1A-0F5D4AEB57E8	TCGA-DJ-A1QE-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.9AEDE1A0-84E8-418E-8E1A-0F5D4AEB57E8.txt
TCGA-DJ-A1QF	TCGA-DJ-A1QF-01A	F7F61990-8DD3-43E1-81E6-3AD8754FEE1F	TCGA-DJ-A1QF-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.F7F61990-8DD3-43E1-81E6-3AD8754FEE1F.txt
TCGA-DJ-A1QG	TCGA-DJ-A1QG-01A	157280C0-D980-4F0B-BBF7-74DE35EA5A97	TCGA-DJ-A1QG-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.157280C0-D980-4F0B-BBF7-74DE35EA5A97.txt
TCGA-DJ-A1QH	TCGA-DJ-A1QH-01A	#N/A	TCGA-DJ-A1QH-01A	0
TCGA-DJ-A1QI	TCGA-DJ-A1QI-01A	68ABC17F-D71F-4D37-B431-8B007943187D	TCGA-DJ-A1QI-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.68ABC17F-D71F-4D37-B431-8B007943187D.txt
TCGA-DJ-A1QL	TCGA-DJ-A1QL-01A	4C358C00-A0F8-4C65-AABE-51103331F681	TCGA-DJ-A1QL-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.4C358C00-A0F8-4C65-AABE-51103331F681.txt
TCGA-DJ-A1QM	TCGA-DJ-A1QM-01A	090AC8C7-1EAB-4B1A-A177-F2D9D753A5E5	TCGA-DJ-A1QM-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.090AC8C7-1EAB-4B1A-A177-F2D9D753A5E5.txt
TCGA-DJ-A1QN	TCGA-DJ-A1QN-01A	D6F2FD15-A88F-4B8E-BE79-DEA9E504C806	TCGA-DJ-A1QN-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.D6F2FD15-A88F-4B8E-BE79-DEA9E504C806.txt
TCGA-DJ-A1QO	TCGA-DJ-A1QO-01A	FC85882E-166E-4482-9A82-636ED620A4C2	TCGA-DJ-A1QO-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.FC85882E-166E-4482-9A82-636ED620A4C2.txt
TCGA-DJ-A1QQ	TCGA-DJ-A1QQ-01A	#N/A	TCGA-DJ-A1QQ-01A	0
TCGA-DJ-A2PN	TCGA-DJ-A2PN-01A	978E453B-82F0-4E06-9238-C953DC37D05C	TCGA-DJ-A2PN-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.978E453B-82F0-4E06-9238-C953DC37D05C.txt
TCGA-DJ-A2PO	TCGA-DJ-A2PO-01A	FD2C2FA7-5138-4F84-B2B3-7C85A457D995	TCGA-DJ-A2PO-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.FD2C2FA7-5138-4F84-B2B3-7C85A457D995.txt
TCGA-DJ-A2PP	TCGA-DJ-A2PP-01A	7D5C8AB6-B6B1-4A5F-A660-FA39DD01BC41	TCGA-DJ-A2PP-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.7D5C8AB6-B6B1-4A5F-A660-FA39DD01BC41.txt
TCGA-DJ-A2PQ	TCGA-DJ-A2PQ-01A	C8444361-6AC2-4A44-8B76-11C46D6B73CE	TCGA-DJ-A2PQ-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.C8444361-6AC2-4A44-8B76-11C46D6B73CE.txt
TCGA-DJ-A2PR	TCGA-DJ-A2PR-01A	151F7108-A438-4122-B33D-7B92247258C0	TCGA-DJ-A2PR-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.151F7108-A438-4122-B33D-7B92247258C0.txt
TCGA-DJ-A2PS	TCGA-DJ-A2PS-01A	292B8F0D-4A8B-4707-8CAE-693531121083	TCGA-DJ-A2PS-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.292B8F0D-4A8B-4707-8CAE-693531121083.txt
TCGA-DJ-A2PT	TCGA-DJ-A2PT-01A	#N/A	TCGA-DJ-A2PT-01A	0
TCGA-DJ-A2PU	TCGA-DJ-A2PU-01A	D94F9D5C-D067-442E-BD32-57A4AF890B9D	TCGA-DJ-A2PU-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.D94F9D5C-D067-442E-BD32-57A4AF890B9D.txt
TCGA-DJ-A2PV	TCGA-DJ-A2PV-01A	B40D90E6-4905-489F-BC56-7164C2ADF675	TCGA-DJ-A2PV-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.B40D90E6-4905-489F-BC56-7164C2ADF675.txt
TCGA-DJ-A2PW	TCGA-DJ-A2PW-01A	4E5ACF26-FF8B-424F-9FA6-A5BD63C131D2	TCGA-DJ-A2PW-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.4E5ACF26-FF8B-424F-9FA6-A5BD63C131D2.txt
TCGA-DJ-A2PX	TCGA-DJ-A2PX-01A	#N/A	TCGA-DJ-A2PX-01A	0
TCGA-DJ-A2PY	TCGA-DJ-A2PY-01A	5A5BED92-AD03-49F3-B88C-585954336110	TCGA-DJ-A2PY-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.5A5BED92-AD03-49F3-B88C-585954336110.txt
TCGA-DJ-A2PZ	TCGA-DJ-A2PZ-01A	82592790-D15B-4309-9C76-07FFE15F08C6	TCGA-DJ-A2PZ-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.82592790-D15B-4309-9C76-07FFE15F08C6.txt
TCGA-DJ-A2Q0	TCGA-DJ-A2Q0-01A	CC7CF239-7AF5-4700-89BF-A10B8DBF707D	TCGA-DJ-A2Q0-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.CC7CF239-7AF5-4700-89BF-A10B8DBF707D.txt
TCGA-DJ-A2Q1	TCGA-DJ-A2Q1-01A	6009AB4F-987B-4677-B3E8-53C6969C3345	TCGA-DJ-A2Q1-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.6009AB4F-987B-4677-B3E8-53C6969C3345.txt
TCGA-DJ-A2Q2	TCGA-DJ-A2Q2-01A	37695B1F-A742-4DFB-8824-7549203D67F1	TCGA-DJ-A2Q2-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.37695B1F-A742-4DFB-8824-7549203D67F1.txt
TCGA-DJ-A2Q3	TCGA-DJ-A2Q3-01A	#N/A	TCGA-DJ-A2Q3-01A	0
TCGA-DJ-A2Q4	TCGA-DJ-A2Q4-01A	C496421C-4A6F-420E-A00A-00F42BA96432	TCGA-DJ-A2Q4-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.C496421C-4A6F-420E-A00A-00F42BA96432.txt
